url,title,property type,property_size(Sq Ft),price(BDT),service_charge(BDT),bedrooms,bathrooms,parking,lift,floor,interior_style,year built,building registration type,preferred tennant,garage(Sq Ft),front_road(Sq Ft),common_area(Sq Ft),city_area,district,zip_code,country
https://rents.com.bd/property/a-nicely-constructed-commercial-space-of-1900-sq-ft-is-available-for-rent-in-banani/,A Nicely Constructed Commercial Space Of 1900 Sq Ft Is Available For Rent In Banani,Commercial Space,1900.0,237500,20900,,,01,4.0,3rd floor,Un-Furnished,2010.0, Commercial,Corporate Office or MNC Office,120,40,150,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-2965-sq-ft-is-up-for-rent-is-situated-in-gulshan-avenue/,A Modern Well-planned Commercial Space Of 2965 Sq Ft Is Up For Rent Is Situated In Gulshan Avenue,Commercial Space,2965.0,444750,29650,,,01,2.0,9th floor,Un-Furnished,2022.0, Commercial,Corporate Office or MNC Office,120,60,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-3800-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Commercial Space Of 3800 Sq Ft Is Up For Rent Is Situated In Banani,Commercial Space,3800.0,475000,41800,,,01,4.0,2nd floor,Un-Furnished,2010.0, Commercial,Corporate Office or MNC Office,120,40,250,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/get-this-2800-sq-ft-wonderful-office-space-is-available-for-rent-in-banani/,Get This 2800 Sq Ft Wonderful Office Space Is Available For Rent In Banani,Commercial Space,2800.0,120000,10000,,,02,2.0,6th floor,Un-Furnished,2014.0,,Corporate Office or MNC Office,240,40,220,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-nicely-constructed-office-space-of-3200-sq-ft-available-now-for-rent-in-banani/,A Nicely Constructed Office Space Of 3200 Sq Ft Available Now For Rent In Banani,Commercial Space,3200.0,250000,20000,,,02,1.0,1st floor,Semi-Furnished,2013.0,,Corporate Office or MNC Office,240,30,220,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-office-space-of-2200-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Office Space Of 2200 Sq Ft Is Up For Rent Is Situated In Banani,Commercial Space,2200.0,110000,10000,,,02,2.0,5th floor,Un-Furnished,2017.0,,Corporate Office or MNC Office,240,40,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-26500-sq-ft-commercial-space-now-vacant-for-rent-in-tejgaon/,Spaciously Designed And Strongly Structured This 26500 Sq. Ft. Commercial Space Now Vacant For Rent In Tejgaon,Commercial Space,26500.0,4505000,450500,,,04,4.0,23th floor,Un-Furnished,2022.0, Commercial,Corporate Office or MNC Office,480,40,1550,Tejgaon,Dhaka,1208,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,2000.0,100000,10000,03,03,01,1.0,1st floor,Un-Furnished,2000.0, Residential, Foreigner,120,24,180,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/2300-sq-ft-nicely-planned-office-space-is-available-for-rent-in-gulshan/,2300 Sq Ft Nicely Planned Office Space Is Available For Rent In Gulshan,Commercial Space,2300.0,140000,13000,,,01,2.0,3rd floor,Un-Furnished,2022.0,,Corporate Office or MNC Office,120,30,180,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-office-space-of-1200-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Office Space Of 1200 Sq Ft Is Up For Rent Is Situated In Banani,Commercial Space,1200.0,90000,5000,,,01,1.0,4th floor,Un-Furnished,2015.0, Residential,Corporate Office or MNC Office,120,30,120,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/luxurious-residence-of-3500-sq-ft-is-available-for-rent-in-gulshan/,Luxurious Residence Of 3500 Sq Ft Is Available For Rent In Gulshan,Residential Apartment,3500.0,240000,30000,04,04,02,2.0,1st floor,Semi-Furnished,2017.0, Residential, Foreigner,240,24,250,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/a-nicely-constructed-office-space-of-2800-sq-ft-available-now-for-rent-in-banani/,A Nicely Constructed Office Space Of 2800 Sq Ft Available Now For Rent In Banani,Commercial Space,2800.0,120000,10000,,,01,1.0,6th floor,Un-Furnished,2010.0, Residential,Corporate Office or MNC Office,120,30,180,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2500-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 2500 Sq. Ft Commercial Space Now Vacant For Rent In Banani.,Commercial Space,2500.0,450000,25000,,,01,2.0,8th & 9th floor,Semi-Furnished,2015.0, Commercial,Corporate Office or MNC Office,120,50,220,Banani,Dhaka,1213,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-1301-sq-ft-is-up-for-rent-is-situated-in-gulshan-avenue/,A Modern Well-planned Commercial Space Of 1301 Sq Ft Is Up For Rent Is Situated In Gulshan Avenue,Commercial Space,1301.0,195150,13010,,,01,2.0,5th floor,Un-Furnished,2022.0, Commercial,Corporate Office or MNC Office,120,60,150,Gulshan,Dhaka,1212,Bangladesh
https://rents.com.bd/property/brand-new-2651-sq-ft-dazzling-commercial-property-is-up-for-rent-located-at-gulshan/,Brand New 2651 Sq Ft Dazzling Commercial Property Is Up For Rent Located At Gulshan,Commercial Space,2651.0,927850,39765,,,01,2.0,1st floor,Un-Furnished,2022.0, Commercial,Corporate Office or MNC Office,120,60,220,Kemal Ataturk Avenue,Dhaka,2,Bangladesh
https://rents.com.bd/property/brand-new-3372-sq-ft-commercial-space-is-up-for-rent-in-gulshan/,Brand New 3372 Sq Ft Commercial Space Is Up For Rent In Gulshan,Commercial Space,3372.0,573240,50580,,,01,2.0,4th floor,Un-Furnished,2022.0, Commercial,Corporate Office or MNC Office,120,60,350,Kemal Ataturk Avenue,Dhaka,2,Bangladesh
