url,title,property type,property size,parking,lift,floor,price,service_charge,year built,building registration type,preferred tennant,interior,garage size,front road size,common area,bedrooms,bathrooms,location,country
https://rents.com.bd/property/a-modern-well-planned-flat-of-5200-sq-ft-is-up-for-rent-is-situated-in-baridhara-diplomatic-zone/,A Modern Well-planned Flat Of 5200 Sq Ft Is Up For Rent Is Situated In Baridhara Diplomatic Zone,Residential Apartment,5200 Sq Ft,02 Car Parking,01,2nd floor,"BDT 360,000/-", At Actual,2014, Residential, Foreigner, Semi-Furnished,240 Sq Ft,24 Ft,350 Sq Ft,04 Bedrooms,05 Bathrooms,"Baridhara Diplomatic Zone, Dhaka 1212",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2230-sq-ft-commercial-space-is-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 2230 Sq. Ft. Commercial Space Is Vacant For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,2230 Sq Ft,01 Car Parking,01,1st floor," BDT 557,500/- (BDT 250/- Per Sq Ft)","BDT 22,300/- (BDT 10/- Per Sq Ft)",2018, Commercial, Foreigner,Un-Furnished,120 Sq Ft, 40 Ft, 180 Sq Ft,,,"Banani, Dhaka",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2200-sq-ft-apartment-is-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 2200 Sq. Ft Apartment Is Vacant For Rent In Banani,"Furnished Apartment For Rent In Dhaka, Residential",2200 Sq Ft,01 Car Parking,01,2nd floor," BDT 100,000/-",BDT 8000/-,2008, Residential, Foreigner,Furnished,120 Sq Ft, 24 Ft, 180 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani , Dhaka",Bangladesh
https://rents.com.bd/property/brand-new-6000-sq-ft-office-space-is-up-for-rent-in-gulshan/,Brand New 6000 Sq Ft Office Space Is Up For Rent In Gulshan,Office Space,6000 Sq Ft,4 Car Parking,02,9th floor," BDT 400,000/-",At Actual.,2022, Residential, Foreigner,Un-Furnished,480 Sq Ft, 40 Ft, 450 Sq Ft,,,"Gulshan, Dhaka",Bangladesh
https://rents.com.bd/property/uniquely-designed-2120-sq-ft-office-space-is-up-for-rent-in-gulshan/,Uniquely Designed 2120 Sq Ft Office Space Is Up For Rent In Gulshan,Office Space,2120 Sq Ft,02 Car Parking,02,5th floor," BDT 150,000/-",At Actual.,2022, Residential, Foreigner,Un-Furnished,240 Sq Ft, 30 Ft, 150 Sq Ft,,,"Gulshan, Dhaka",Bangladesh
https://rents.com.bd/property/stunning-views-with-quality-finishing-a-2200-sq-ft-apartment-is-up-for-rent-in-banani/,Stunning Views With Quality Finishing A 2200 Sq Ft Apartment Is Up For Rent In Banani,"Furnished Apartment For Rent In Dhaka, Residential, Residential Apartment",2200 Sq Ft,01 Car Parking,01,8th top + 4th Floor," BDT 110,000/-"," BDT 11,000/-",2010, Residential, Foreigner, Furnished,120 Sq Ft, 12 Ft, 220 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2600-sq-ft-office-space-now-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 2600 Sq. Ft. Office Space Now Vacant For Rent In Banani,Office Space,2600 Sq Ft.,01 Car Parking,01,2nd floor," BDT 110,000/-","BDT 11,000/-",2006, Residential,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 30 Ft.,180 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/tastefully-designed-this-2400-sq-ft-office-space-is-vacant-for-rent-in-banani/,Tastefully Designed This 2400 SQ FT Office Space Is Vacant For Rent In Banani,Office Space,2400 Sq Ft.,01 Car Parking,02,8th floor," BDT 210,000/-","BDT 20,000/-",2017, Residential,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 40 Ft.,180 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/uniquely-designed-2461-sq-ft-office-space-is-up-for-rent-in-gulshan/,Uniquely Designed 2461 Sq Ft Office Space Is Up For Rent In Gulshan,Office Space,2461 Sq Ft,01 Car Parking,01,5th floor," BDT 100,000/-",At Actual.,2016, Residential, Foreigner,Un-Furnished,120 Sq Ft, 40 Ft, 180 Sq Ft,,,"Gulshan, Dhaka",Bangladesh
https://rents.com.bd/property/tastefully-designed-this-950-sq-ft-office-space-is-vacant-for-rent-in-banani/,Tastefully Designed This 950 SQ FT Office Space Is Vacant For Rent In Banani,Office Space,950 Sq. Ft.,01 Car Parking,No,1st floor," BDT 100,000/-","BDT 10,000/-",2000, Residential,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 40 Ft.,120 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-nice-and-comfortable-2000-sq-ft-furnished-apartment-is-up-for-rent-in-banani/,A Nice And Comfortable 2000 Sq Ft Furnished Apartment Is Up For Rent In Banani,"Furnished Apartment For Rent In Dhaka, Residential",2000 Sq Ft,01 Car Parking,01,2nd floor," BDT 100,000/-", BDT 7000/-,2008, Residential, Foreigner,Furnished,120 Sq Ft,16 Ft, 150 Sq Ft,03 Bedrooms,03 Bathrooms,"Banani, Dhaka",Bangladesh
